#PAPI events for 5 iterations on 1 to 64 threads.
#PROCESSORS	TIME	PAPI_L1_TCM	PAPI_L2_TCM
1	0.023085	325984	9166	
1	0.009366	51453	67636	
1	0.009346	52142	67796	
1	0.009373	51630	67124	
1	0.009393	51914	66970	
2	0.006843	35604	25838	
2	0.007017	33795	22627	
2	0.006991	34100	22493	
2	0.007011	34148	22350	
2	0.006987	34342	22517	
3	0.006104	25717	13481	
3	0.006211	26415	13235	
3	0.006228	26492	13193	
3	0.006205	26445	13135	
3	0.00606	23652	11718	
4	0.005563	18918	9300	
4	0.004776	18890	9641	
4	0.005454	21561	9844	
4	0.005409	17895	7671	
4	0.00489	21141	9753	
5	0.004607	16965	6846	
5	0.004469	18204	6868	
5	0.004516	16318	6260	
5	0.004517	17050	6531	
5	0.004692	16273	6296	
6	0.004323	14772	4862	
6	0.004471	16927	6514	
6	0.004283	16237	6713	
6	0.004319	15727	5918	
6	0.004325	16052	5698	
7	0.004407	15066	5780	
7	0.003923	13802	5757	
7	0.004199	15300	5583	
7	0.004107	16002	6331	
7	0.004115	14281	5779	
8	0.004363	16948	6474	
8	0.004127	13107	5673	
8	0.003965	13654	5565	
8	0.003853	14624	5959	
8	0.004182	15418	6483	
9	0.004501	13154	5456	
9	0.003962	17768	7043	
9	0.0041	15449	5381	
9	0.004014	15574	5055	
9	0.00418	17918	6792	
10	0.004123	15439	5960	
10	0.004075	16353	5859	
10	0.00379	15291	5199	
10	0.003982	15791	5925	
10	0.00401	14770	5991	
11	0.003907	16810	6395	
11	0.004158	16242	5239	
11	0.003837	14918	5495	
11	0.003947	17848	5934	
11	0.004037	16174	5926	
12	0.003785	16802	6456	
12	0.003838	14214	4247	
12	0.003846	15819	5750	
12	0.003823	16052	6067	
12	0.004031	16896	5455	
13	0.003803	14260	5536	
13	0.003886	16152	6032	
13	0.003927	16878	6956	
13	0.00401	14809	4843	
13	0.003839	14389	5286	
14	0.004097	17484	6505	
14	0.004059	17238	6486	
14	0.00396	13953	4604	
14	0.003985	15796	5374	
14	0.003999	16656	6233	
15	0.003799	15852	6193	
15	0.003809	16190	6168	
15	0.003812	15272	5779	
15	0.003775	16165	6257	
15	0.003763	14466	5296	
16	0.004085	16672	5813	
16	0.004028	17866	7074	
16	0.003786	15651	6041	
16	0.003892	16731	5824	
16	0.003922	16604	5448	
17	0.003886	17017	4572	
17	0.004043	16946	6069	
17	0.003869	15352	5266	
17	0.003858	15306	5738	
17	0.003801	14641	4771	
18	0.00393	16649	5843	
18	0.00397	16125	6096	
18	0.003912	17020	5664	
18	0.004024	17315	6006	
18	0.003948	15466	5484	
19	0.003956	18070	5576	
19	0.003885	17483	6718	
19	0.003798	18414	5934	
19	0.00392	17421	6365	
19	0.004556	13849	4875	
20	0.003999	15436	6090	
20	0.003845	16427	5636	
20	0.003809	15914	5515	
20	0.003847	16306	5487	
20	0.003818	16412	5583	
21	0.004162	16697	5093	
21	0.003845	16875	5739	
21	0.003846	18752	6029	
21	0.003883	17796	5912	
21	0.004032	16441	4952	
22	0.004007	15565	5499	
22	0.003892	16461	5275	
22	0.003888	17867	5204	
22	0.00384	16742	5816	
22	0.003934	16741	6049	
23	0.00392	16644	4643	
23	0.003804	15751	5681	
23	0.003865	17419	4984	
23	0.003839	16710	5176	
23	0.003961	14880	5775	
24	0.004064	16050	5192	
24	0.003748	16211	5023	
24	0.003948	16554	5642	
24	0.003795	18324	5928	
24	0.003813	16507	5458	
25	0.003948	17978	6146	
25	0.003837	16756	5842	
25	0.003863	18138	5662	
25	0.003919	17731	6479	
25	0.003809	16934	5053	
26	0.003826	16957	5024	
26	0.003948	17329	5807	
26	0.003788	15917	5173	
26	0.003881	17468	5582	
26	0.003875	17548	5452	
27	0.003924	14673	4773	
27	0.004438	19498	6015	
27	0.003936	16523	5180	
27	0.00377	18019	5451	
27	0.003915	16438	4905	
28	0.003838	17802	5837	
28	0.003893	19420	5702	
28	0.003883	17151	5341	
28	0.004563	20133	6260	
